# Metrics probe output, transcribed from the user's simulator console screenshots
# (Connect IQ simulator on macOS, SDK 9.2.0, 2026-09-18). One row per symbol:
# device symbol getFontHeight getFontAscent getFontDescent w("Hxg0123") w("0123456789")
fenix8solar47mm FONT_XTINY 21 17 4 64 90
fenix8solar47mm FONT_TINY 29 23 6 91 130
fenix8solar47mm FONT_SMALL 32 25 7 99 140
fenix8solar47mm FONT_MEDIUM 39 30 9 120 170
fenix8solar47mm FONT_LARGE 40 32 8 121 170
fenix8solar47mm FONT_NUMBER_MILD 58 42 16 161 230
fenix8solar47mm FONT_NUMBER_MEDIUM 65 48 17 184 264
fenix8solar47mm FONT_NUMBER_HOT 99 72 27 281 403
fenix8solar47mm FONT_NUMBER_THAI_HOT 121 88 33 342 491
fenix8solar47mm FONT_GLANCE 24 19 5 78 110
fenix8solar47mm FONT_GLANCE_NUMBER 32 25 7 99 140
fenix8solar47mm FONT_AUX1 21 17 4 64 90
fr955 FONT_XTINY 21 17 4 64 90
fr955 FONT_TINY 29 23 6 91 130
fr955 FONT_SMALL 32 25 7 99 140
fr955 FONT_MEDIUM 39 30 9 120 170
fr955 FONT_LARGE 40 32 8 121 170
fr955 FONT_NUMBER_MILD 47 37 10 143 200
fr955 FONT_NUMBER_MEDIUM 53 42 11 163 230
fr955 FONT_NUMBER_HOT 79 62 17 277 390
fr955 FONT_NUMBER_THAI_HOT 91 72 19 320 450
fr955 FONT_GLANCE 24 19 5 72 100
fr955 FONT_GLANCE_NUMBER 32 25 7 99 140
fr955 FONT_AUX1 21 17 4 64 90
fenix8solar51mm FONT_XTINY 22 18 4 71 100
fenix8solar51mm FONT_TINY 30 24 6 93 130
fenix8solar51mm FONT_SMALL 34 27 7 106 150
fenix8solar51mm FONT_MEDIUM 39 30 9 120 170
fenix8solar51mm FONT_LARGE 42 33 9 128 180
fenix8solar51mm FONT_NUMBER_MILD 62 45 17 174 250
fenix8solar51mm FONT_NUMBER_MEDIUM 69 51 18 195 279
fenix8solar51mm FONT_NUMBER_HOT 107 78 29 302 434
fenix8solar51mm FONT_NUMBER_THAI_HOT 129 94 35 364 521
fenix8solar51mm FONT_GLANCE 26 20 6 79 110
fenix8solar51mm FONT_GLANCE_NUMBER 34 27 7 106 150
fenix8solar51mm FONT_AUX1 30 24 6 92 130
